key_resp.corr,sequential,random,
1,1.3512987,0.3470836,0
1,0.617875,0.3115832,1
1,0.3584851,0.3437505,1
1,0.3390495,0.4552838,0
1,0.4595733,0.3537144,1
1,0.2967031,0.5738459,1
1,0.2665958,1.105438,1
1,0.3160692,0.4144694,1
1,0.4752331,0.4846642,1
1,0.3459826,0.4220991,1
1,0.9534609,0.5030357,1
1,0.8278869,0.5962596,1
1,1.4050732,0.4031029,1
1,0.4318113,0.4194298,1
1,0.3208338,0.4249053,1
1,0.7853611,0.3918479,1
1,1.4864812,0.5478726,1
1,0.3669942,0.4490171,1
1,0.3706925,0.3389374,0
1,0.4245905,0.3849826,1
1,0.4453236,0.4147652,1
1,0.321099,0.3489692,1
1,0.3575845,0.3876355,1
1,0.3348339,0.4303387,1
1,0.3173569,0.7747194,1
1,0.3254734,0.518539,1
1,0.3834757,0.3848746,0
1,0.3796871,0.451424,1
1,0.8068053,0.4489977,1
1,0.3377179,0.7658926,1
1,0.3621216,1.179184,1
1,0.3592682,1.4546294,1
1,0.4746849,0.7469741,1
1,0.3470013,0.3527847,1
1,0.3867403,0.5307445,1
1,0.5120433,0.4393936,1
1,0.4161681,0.371275,1
1,0.3821268,0.4575045,1
1,0.2346035,0.4020274,1
1,0.879724,0.4507619,1
1,0.4103701,0.3627679,1
1,0.4539577,0.5952203,1
1,0.3221787,0.4657901,1
1,0.2600875,0.6205732,1
1,0.6179902,0.5765435,1
1,0.1948263,0.4655894,1
1,0.3648771,0.3567793,1
1,0.3248988,0.398497,0
1,0.3568104,0.6944691,1
1,0.319304,0.5764412,1
1,0.9371806,0.5857267,1
1,0.93628,0.4132334,0
1,0.8330124,0.5835009,1
1,0.3538355,0.5581013,1
1,0.314243,0.4388783,1
1,0.2637186,0.475097,1
1,0.3315779,0.4704798,1
1,0.3271258,0.3285934,1
1,0.7211869,0.6581574,1
1,0.2646128,0.4522011,1
1,0.2858985,0.581152,1
1,0.2848779,0.6871965,1
1,0.3466533,0.5745422,1
1,0.3132035,0.5466118,1
1,0.2606185,0.4902618,1
1,0.0314891,0.5992532,1
1,0.4130981,0.5279286,1
1,0.2822783,0.4410523,1
1,0.2220813,0.5010333,1
1,0.2744387,0.3778228,1
1,0.26515,0.4772745,1
1,0.2727359,0.4540709,1
1,0.2848592,0.3741956,1
1,0.2474483,0.5387348,1
1,0.3267686,0.4163447,1
1,0.36325,0.5495248,1
1,0.0869558,0.5636826,1
1,0.3407655,0.5433318,1
1,0.0519594,0.5152841,1
1,0.4073277,0.4937179,1
1,0.1413913,0.4472765,1
1,0.1342916,0.5630265,1
1,0.130744,0.4172699,1
1,0.4659932,0.6356993,1
1,0.3556718,0.4847913,1
1,0.4072291,0.5618518,1
1,0.5006975,0.4637362,1
1,0.5450912,0.5382034,1
1,0.3388164,0.454414,1
1,0.3035906,0.8413021,1
1,0.2399558,0.3971902,1
1,0.276878,0.6368344,1
1,0.1335868,0.2682501,1
1,0.0299385,0.5109656,1
1,0.2420606,0.7606847,0
1,0.4136914,0.4346169,1
1,0.1710613,0.6305268,1
1,0.5455639,1.009771,1
1,0.377022,0.4338234,1
1,0.5213187,0.4746126,1
1,0.3360496,0.4320614,1
1,0.300912,0.3014311,1
1,0.3378144,0.4386864,1
1,0.2482845,0.4108348,1
1,0.336761,0.3533113,1
1,0.2789525,0.3411527,1
1,0.2426356,0.3407572,1
1,0.1463517,0.3960471,1
1,0.0393961,0.5829784,1
1,0.1332854,0.4370327,1
1,0.1311477,0.3952737,0
1,0.4329331,0.4501465,1
1,0.2648864,0.4662194,1
1,0.3045875,0.4729397,1
1,0.0398829,0.4604633,1
1,0.3310213,0.6266756,1
1,0.3141973,0.3610453,1
1,0.2997442,0.4054029,1
1,0.3149538,0.4726009,1
1,0.2088458,0.4639578,1
1,0.3746639,0.5052441,1
1,0.3666666,0.3363744,1
1,0.2061057,0.4226877,1
1,0.3502588,0.3747994,1
1,0.1065012,0.4552665,1
1,0.2226958,0.4664126,1
1,0.0396254,0.5560335,1
1,0.5198054,0.9044062,1
1,0.2835519,0.4880809,1
1,0.2863253,0.5514155,1
1,0.2735125,0.5995204,1
1,0.2789921,0.5905418,1
1,0.0423666,0.5112974,1
1,0.0969369,0.5360835,1
1,0.2701058,0.4650404,1
1,0.0127791,0.8128689,1
1,0.2798485,0.5848722,1
1,0.2115822,0.5494142,1
1,0.0972405,0.5625562,1
1,0.2624452,0.5340663,1
1,0.3082527,0.5072853,1
1,0.1328353,0.4799516,1
1,0.2089208,0.4839912,1
1,0.3361749,0.8869276,1
1,0.3494138,0.5029731,1
0,0.2667654,0.4594192,1
1,0.261607,0.4392834,1
1,0.2584027,0.4675169,1
1,0.2657442,1.8114233,1
1,0.3470262,0.3726881,1
1,0.3597262,0.4650747,1
1,0.2385677,0.4733791,1
1,0.9778086,0.4245815,1
1,0.3854588,0.6150063,1
1,0.4275994,1.0863305,1
1,0.6588126,0.6353733,1
1,0.2975848,0.7020562,1
1,0.2807407,0.5531472,1
1,0.107191,0.7152101,1
1,0.3493528,0.3965035,1
1,0.3653479,0.5666931,1
1,0.1966476,1.422734,1
1,0.2197722,0.9640766,1
1,0.1618471,1.1214667,1
1,0.094264,0.3059894,1
1,0.1048757,0.7345106,1
1,0.232022,0.4768,1
1,0.1380919,0.4323086,1
1,0.2027373,0.4846095,1
1,0.4313057,0.6466158,1
1,0.1139713,0.3458637,1
1,0.0445675,0.4742626,1
1,0.1512819,0.273207,1
1,0.2546419,0.460678,1
1,0.1210583,0.5999492,1
1,0.6381368,0.3424709,0
1,0.2479936,0.3689372,1
1,0.4391544,0.5094749,1
1,0.1074067,1.109624,1
1,0.8177728,0.381971,1
1,0.5738755,0.5973948,1
1,0.1622486,0.4185946,0
1,0.3599864,0.4411496,0
1,0.6506129,0.4649562,1
1,0.4802352,0.6810671,1
1,0.1298999,0.6192849,1
1,0.2805465,0.4211313,1
1,0.4919004,0.4544224,1
1,0.3080792,0.7192233,1
1,0.3495391,0.7034426,1
1,0.2377757,0.9313446,1
1,0.2395317,0.8250856,1
1,0.2448489,0.5019061,1
1,0.1908003,0.5398076,1
1,0.2438818,0.3222037,1
1,0.2988753,0.0277854,0
1,0.3556519,0.4779846,1
1,0.2055167,0.5442687,1
1,0.2153551,0.5295877,1
1,0.1701253,0.8343619,1
